geography_code,Subgroup,Group,Supergroup
S01019782,1c2,1c,1
S01019783,2b2,2b,2
S01019784,1a2,1a,1
S01019785,1b2,1b,1
S01019786,1c2,1c,1
S01019787,1c1,1c,1
S01019788,1c2,1c,1
S01019789,1c2,1c,1
S01019790,1c1,1c,1
S01019791,1c1,1c,1
S01019792,1c2,1c,1
S01019793,1c1,1c,1
S01019794,1c1,1c,1
S01019795,1c2,1c,1
S01019796,1a1,1a,1
S01019797,7a1,7a,7
S01019798,7a1,7a,7
S01019799,7b2,7b,7
S01019800,8b1,8b,8
S01019801,7a2,7a,7
S01019802,2c2,2c,2
S01019803,7b2,7b,7
S01019804,6b3,6b,6
S01019805,7b1,7b,7
S01019806,1a1,1a,1
S01019807,2c2,2c,2
S01019808,1a2,1a,1
S01019809,7b1,7b,7
S01019810,1b2,1b,1
S01019811,7b2,7b,7
S01019812,1b1,1b,1
S01019813,2c2,2c,2
S01019814,3a4,3a,3
S01019815,8b3,8b,8
S01019816,2c2,2c,2
S01019817,8a2,8a,8
S01019818,2c2,2c,2
S01019819,2c2,2c,2
S01019820,2c1,2c,2
S01019821,2c2,2c,2
S01019822,7a1,7a,7
S01019823,8a2,8a,8
S01019824,8a2,8a,8
S01019825,8a2,8a,8
S01019826,2c1,2c,2
S01019827,7b1,7b,7
S01019828,7b2,7b,7
S01019829,7a1,7a,7
S01019830,8b1,8b,8
S01019831,8b1,8b,8
S01019832,7a1,7a,7
S01019833,8b1,8b,8
S01019834,8b1,8b,8
S01019835,8a2,8a,8
S01019836,8b1,8b,8
S01019837,8b1,8b,8
S01019838,8b1,8b,8
S01019839,2c2,2c,2
S01019840,8b1,8b,8
S01019841,8b2,8b,8
S01019842,2a3,2a,2
S01019843,2c2,2c,2
S01019844,2c2,2c,2
S01019845,1b1,1b,1
S01019846,8b1,8b,8
S01019847,7a1,7a,7
S01019848,8b1,8b,8
S01019849,8b3,8b,8
S01019850,1b2,1b,1
S01019851,2c2,2c,2
S01019852,2c2,2c,2
S01019853,2c2,2c,2
S01019854,2c2,2c,2
S01019855,2c2,2c,2
S01019856,1c1,1c,1
S01019857,2c2,2c,2
S01019858,2c2,2c,2
S01019859,1c1,1c,1
S01019860,1b2,1b,1
S01019861,7a2,7a,7
S01019862,2c2,2c,2
S01019863,2b1,2b,2
S01019864,2b2,2b,2
S01019865,2b1,2b,2
S01019866,8b3,8b,8
S01019867,7a2,7a,7
S01019868,1b2,1b,1
S01019869,8b1,8b,8
S01019870,7a1,7a,7
S01019871,7a1,7a,7
S01019872,2b2,2b,2
S01019873,7a1,7a,7
S01019874,7a1,7a,7
S01019875,7a1,7a,7
S01019876,1a1,1a,1
S01019877,1c2,1c,1
S01019878,1a1,1a,1
S01019879,1a1,1a,1
S01019880,2c1,2c,2
S01019881,7a2,7a,7
S01019882,7a1,7a,7
S01019883,2b1,2b,2
S01019884,7a2,7a,7
S01019885,7a2,7a,7
S01019886,1b1,1b,1
S01019887,1b2,1b,1
S01019888,1c2,1c,1
S01019889,1c2,1c,1
S01019890,1c2,1c,1
S01019891,1b2,1b,1
S01019892,1b2,1b,1
S01019893,1c1,1c,1
S01019894,7b2,7b,7
S01019895,8b2,8b,8
S01019896,1a1,1a,1
S01019897,7b2,7b,7
S01019898,8b2,8b,8
S01019899,1c1,1c,1
S01019900,1b2,1b,1
S01019901,2c2,2c,2
S01019902,8b3,8b,8
S01019903,8b3,8b,8
S01019904,2c2,2c,2
S01019905,5a2,5a,5
S01019906,2c2,2c,2
S01019907,2b1,2b,2
S01019908,1a2,1a,1
S01019909,1a1,1a,1
S01019910,1a1,1a,1
S01019911,1a2,1a,1
S01019912,2c2,2c,2
S01019913,7a2,7a,7
S01019914,1a1,1a,1
S01019915,8b2,8b,8
S01019916,2b1,2b,2
S01019917,1a1,1a,1
S01019918,7b2,7b,7
S01019919,2b1,2b,2
S01019920,2b2,2b,2
S01019921,2c2,2c,2
S01019922,7a2,7a,7
S01019923,1a1,1a,1
S01019924,1a1,1a,1
S01019925,1a1,1a,1
S01019926,7a1,7a,7
S01019927,7a2,7a,7
S01019928,7a1,7a,7
S01019929,1a1,1a,1
S01019930,1c2,1c,1
S01019931,2b2,2b,2
S01019932,7a2,7a,7
S01019933,7b2,7b,7
S01019934,2a2,2a,2
S01019935,1b2,1b,1
S01019936,2c2,2c,2
S01019937,1b2,1b,1
S01019938,1b2,1b,1
S01019939,8b2,8b,8
S01019940,7b2,7b,7
S01019941,7a1,7a,7
S01019942,7a1,7a,7
S01019943,1c2,1c,1
S01019944,1c2,1c,1
S01019945,7a1,7a,7
S01019946,7a1,7a,7
S01019947,8b1,8b,8
S01019948,2a1,2a,2
S01019949,1c2,1c,1
S01019950,7a1,7a,7
S01019951,7a1,7a,7
S01019952,1b2,1b,1
S01019953,2b1,2b,2
S01019954,1a1,1a,1
S01019955,1c2,1c,1
S01019956,1a2,1a,1
S01019957,8b2,8b,8
S01019958,1c1,1c,1
S01019959,1a1,1a,1
S01019960,7a2,7a,7
S01019961,8b1,8b,8
S01019962,7b2,7b,7
S01019963,2a3,2a,2
S01019964,1a2,1a,1
S01019965,7a2,7a,7
S01019966,2c1,2c,2
S01019967,1c2,1c,1
S01019968,1c2,1c,1
S01019969,8b2,8b,8
S01019970,8b1,8b,8
S01019971,1a1,1a,1
S01019972,1a1,1a,1
S01019973,8b2,8b,8
S01019974,8b1,8b,8
S01019975,1c1,1c,1
S01019976,1a1,1a,1
S01019977,8b1,8b,8
S01019978,7a1,7a,7
S01019979,7a1,7a,7
S01019980,7a1,7a,7
S01019981,6b1,6b,6
S01019982,8b1,8b,8
S01019983,7b2,7b,7
S01019984,7a1,7a,7
S01019985,2c2,2c,2
S01019986,1c2,1c,1
S01019987,1c2,1c,1
S01019988,7b2,7b,7
S01019989,1b2,1b,1
S01019990,1b2,1b,1
S01019991,7a2,7a,7
S01019992,1b2,1b,1
S01019993,7a1,7a,7
S01019994,5b1,5b,5
S01019995,1c2,1c,1
S01019996,2c1,2c,2
S01019997,7a2,7a,7
S01019998,1a1,1a,1
S01019999,1c2,1c,1
S01020000,7a1,7a,7
S01020001,2c2,2c,2
S01020002,1b2,1b,1
S01020003,1c2,1c,1
S01020004,7a1,7a,7
S01020005,2c2,2c,2
S01020006,1a1,1a,1
S01020007,2a2,2a,2
S01020008,2c2,2c,2
S01020009,7a1,7a,7
S01020010,7a1,7a,7
S01020011,8b1,8b,8
S01020012,6a3,6a,6
S01020013,7b2,7b,7
S01020014,2a2,2a,2
S01020015,7a1,7a,7
S01020016,8b1,8b,8
S01020017,7a1,7a,7
S01020018,7a1,7a,7
S01020019,7a1,7a,7
S01020020,7a1,7a,7
S01020021,7a1,7a,7
S01020022,1b1,1b,1
S01020023,1a1,1a,1
S01020024,1c2,1c,1
S01020025,1a1,1a,1
S01020026,1b2,1b,1
S01020027,7a2,7a,7
S01020028,2c2,2c,2
S01020029,7b2,7b,7
S01020030,1c1,1c,1
S01020031,1c1,1c,1
S01020032,2c2,2c,2
S01020033,2b1,2b,2
S01020034,1b2,1b,1
S01020035,1c2,1c,1
S01020036,2c1,2c,2
S01020037,1c2,1c,1
S01020038,1c2,1c,1
S01020039,1a1,1a,1
